#;air;water;land;waste;energy;construction;index;
w: ;5;5;5;5;5;5;
1;90;5;5;5;5;5;575;
2;6;5;5;5;5;5;155;
3;0;5;5;5;5;5;125;
4;62;5;5;5;5;5;435;
5;34;5;5;5;5;5;295;
6;70;5;5;5;5;5;475;
7;3;5;5;5;5;5;140;
8;59;5;5;5;5;5;420;
9;23;5;5;5;5;5;240;
10;37;5;5;5;5;5;310;
11;9;5;5;5;5;5;170;
12;65;5;5;5;5;5;450;
13;96;5;5;5;5;5;605;
14;61;5;5;5;5;5;430;
15;63;5;5;5;5;5;440;
16;59;5;5;5;5;5;420;
17;81;5;5;5;5;5;530;
18;37;5;5;5;5;5;310;
19;69;5;5;5;5;5;470;
20;81;5;5;5;5;5;530;
21;28;5;5;5;5;5;265;
22;68;5;5;5;5;5;465;
23;16;5;5;5;5;5;205;
24;39;5;5;5;5;5;320;
25;7;5;5;5;5;5;160;
26;28;5;5;5;5;5;265;
27;15;5;5;5;5;5;200;
28;67;5;5;5;5;5;460;
29;100;5;5;5;5;5;625;
30;35;5;5;5;5;5;300;
31;50;5;5;5;5;5;375;
32;41;5;5;5;5;5;330;
33;99;5;5;5;5;5;620;
34;95;5;5;5;5;5;600;
35;76;5;5;5;5;5;505;
36;27;5;5;5;5;5;260;
37;49;5;5;5;5;5;370;
38;95;5;5;5;5;5;600;
39;77;5;5;5;5;5;510;
40;33;5;5;5;5;5;290;
41;62;5;5;5;5;5;435;
42;25;5;5;5;5;5;250;
43;61;5;5;5;5;5;430;
44;72;5;5;5;5;5;485;
45;43;5;5;5;5;5;340;
46;98;5;5;5;5;5;615;
47;10;5;5;5;5;5;175;
48;88;5;5;5;5;5;565;
49;93;5;5;5;5;5;590;
50;59;5;5;5;5;5;420;
51;67;5;5;5;5;5;460;
52;83;5;5;5;5;5;540;
53;34;5;5;5;5;5;295;
54;15;5;5;5;5;5;200;
55;29;5;5;5;5;5;270;
56;49;5;5;5;5;5;370;
57;94;5;5;5;5;5;595;
58;33;5;5;5;5;5;290;
59;52;5;5;5;5;5;385;
60;25;5;5;5;5;5;250;
61;96;5;5;5;5;5;605;
62;57;5;5;5;5;5;410;
63;5;5;5;5;5;5;150;
64;71;5;5;5;5;5;480;
65;55;5;5;5;5;5;400;
66;56;5;5;5;5;5;405;
67;56;5;5;5;5;5;405;
68;89;5;5;5;5;5;570;
69;76;5;5;5;5;5;505;
70;18;5;5;5;5;5;215;
71;11;5;5;5;5;5;180;
72;49;5;5;5;5;5;370;
73;58;5;5;5;5;5;415;
74;3;5;5;5;5;5;140;
75;9;5;5;5;5;5;170;
76;46;5;5;5;5;5;355;
77;57;5;5;5;5;5;410;
78;42;5;5;5;5;5;335;
79;42;5;5;5;5;5;335;
80;30;5;5;5;5;5;275;
81;2;5;5;5;5;5;135;
82;22;5;5;5;5;5;235;
83;30;5;5;5;5;5;275;
84;86;5;5;5;5;5;555;
85;47;5;5;5;5;5;360;
86;71;5;5;5;5;5;480;
87;72;5;5;5;5;5;485;
88;8;5;5;5;5;5;165;
89;13;5;5;5;5;5;190;
90;76;5;5;5;5;5;505;
91;34;5;5;5;5;5;295;
92;62;5;5;5;5;5;435;
93;6;5;5;5;5;5;155;
94;94;5;5;5;5;5;595;
95;98;5;5;5;5;5;615;
96;23;5;5;5;5;5;240;
97;50;5;5;5;5;5;375;
98;35;5;5;5;5;5;300;
99;4;5;5;5;5;5;145;
100;90;5;5;5;5;5;575;
